dept,word,count
SPD,threat,122
SPD,alias,122
SPD,zoning,122
SPD,get,122
SPD,minor,122
SPD,reporting,122
SPD,kill,122
SPD,easy,121
SPD,technical,121
SPD,week,121
SPD,certain,121
SPD,partner,121
SPD,friend,120
SPD,male,120
SPD,charleena,120
SPD,hand,120
SPD,lemberg,120
SPD,primary,120
SPD,landes,120
SPD,longer,120
SPD,daughter,120
SPD,talk,120
SPD,helpful,120
SPD,undercover,119
SPD,recovery,119
SPD,perhaps,119
SPD,prosecutor,119
SPD,affiliate,119
SPD,effective,119
SPD,corp,118
SPD,range,118
SPD,award,118
SPD,intake,118
SPD,publicly,117
SPD,reach,117
SPD,harrington,117
SPD,inquiry,117
SPD,jennifer,117
SPD,board,116
SPD,mahoney,116
SPD,quantity,116
SPD,homicide,116
SPD,visit,116
SPD,burgess,116
SPD,fight,116
SPD,smart,115
SPD,guideline,115
SPD,electrical,115
SPD,practice,115
SPD,certificate,115
SPD,night,114
SPD,virginia,114
SPD,father,114
SPD,outreach,114
SPD,withholding,114
SPD,wire,114
SPD,therefore,114
SPD,confidentiality,114
SPD,division,114
SPD,taker,113
SPD,life,113
SPD,product,113
SPD,misspelled,113
SPD,poole,113
SPD,exclude,113
SPD,answer,113
SPD,industry,112
SPD,neighbor,112
SPD,noah,112
SPD,administrative,112
SPD,focus,112
SPD,improper,112
SPD,protection,112
SPD,complainant,112
SPD,sepa,111
SPD,render,111
SPD,drug,111
SPD,horning,111
SPD,feldmann,111
SPD,judge,111
SPD,automatic,111
SPD,hargraves,111
SPD,andrea,111
SPD,sylvester,111
SPD,presentation,111
SPD,quite,111
SPD,maintain,111
SPD,gonzalez,110
SPD,possibly,110
SPD,character,110
SPD,creation,110
SPD,click,110
SPD,aurora,110
SPD,mechanical,110
SPD,immigration,109
SPD,aforementioned,109
SPD,develop,109
SPD,construct,108
SPD,ward,108
SPD,shannon,108
SPD,election,108
SPD,partnership,108
SPD,contribution,108
SPD,later,107
SPD,late,107
SPD,deanna,107
SPD,undergo,107
SPD,shift,107
SPD,everything,107
SPD,prostitution,107
SPD,capitol,107
SPD,speak,107
SPD,sell,106
SPD,idea,106
SPD,melanie,106
SPD,consideration,106
SPD,deletion,106
SPD,profile,106
SPD,taylor,106
SPD,todd,106
SPD,hospital,106
SPD,solicit,106
SPD,nollette,105
SPD,eastside,105
SPD,curiosity,105
SPD,photographic,105
SPD,maybe,105
SPD,properties,105
SPD,provision,105
SPD,serve,105
SPD,landers,104
SPD,soot,104
SPD,evening,104
SPD,reports,104
SPD,clery,104
SPD,kcso,104
SPD,rccp,104
SPD,veto,104
SPD,interoffice,104
SPD,edmund,104
SPD,boehm,104
SPD,jackson,104
SPD,chat,103
SPD,compliant,103
SPD,hopkins,103
SPD,pike,103
SPD,capacity,103
SPD,explain,103
SPD,recommendation,103
SPD,exceed,103
SPD,unius,102
SPD,legislate,102
SPD,plainly,102
SPD,alterius,102
SPD,exclusio,102
SPD,expressio,102
SPD,restraint,102
SPD,omission,102
SPD,route,102
SPD,professional,102
SPD,broadcast,102
SPD,backlog,102
SPD,apartment,102
SPD,streetcar,102
SPD,attest,102
SPD,auditor,102
SPD,kidnapping,102
SPD,messenger,102
SPD,amendment,101
SPD,alpr,101
SPD,campus,101
SPD,cruelty,101
SPD,carlson,101
SPD,yell,101
SPD,summer,101
SPD,law,101
SPD,spry,100
SPD,glip,100
SPD,slack,100
SPD,imessage,100
SPD,warning,100
SPD,telegram,100
SPD,protest,100
SPD,whatsapp,100
SPD,gender,100
SPD,preform,100
SPD,locatable,99
SPD,inactive,99
SPD,trolley,99
SPD,departmental,99
SPD,strike,98
SPD,toxicologist,98
SPD,money,98
SPD,assistant,98
SPD,preparation,98
SPD,scanner,98
SPD,olive,98
SPD,cleaning,97
SPD,organize,97
SPD,run,97
SPD,rack,97
SPD,partial,97
SPD,fort,97
SPD,microsoft,97
SPD,quote,96
SPD,vigdor,96
SPD,section,96
SPD,rights,96
SPD,press,96
SPD,move,96
SPD,global,96
SPD,limitation,96
SPD,murphy,96
SPD,bellevue,96
SPD,dwelling,96
SPD,definition,96
SPD,rulemaking,96
SPD,conceptual,96
SPD,lawton,95
SPD,inter,95
SPD,production,95
SPD,join,95
SPD,single,95
SPD,contest,94
SPD,eddie,94
SPD,surface,94
SPD,donna,94
SPD,excellent,94
SPD,disseminate,94
SPD,defense,94
SPD,morgan,94
SPD,jump,94
SPD,councilmember,94
SPD,listen,93
SPD,unauthorized,93
SPD,pine,93
SPD,interpretation,93
SPD,dshs,93
SPD,master,93
SPD,ptcr,93
SPD,hop,93
SPD,sylvia,93
SPD,garage,93
SPD,timeframe,92
SPD,york,92
SPD,fellow,92
SPD,toner,92
SPD,furtherance,92
SPD,ongoing,92
SPD,chiefs,92
SPD,proceeding,92
SPD,emanuel,92
SPD,classification,92
SPD,upper,91
SPD,processing,91
SPD,requestall,91
SPD,outlet,91
SPD,fall,91
SPD,prostitute,91
SPD,film,91
SPD,tab,91
SPD,discrete,91
SPD,domain,91
SPD,positioning,91
SPD,various,91
SPD,carl,90
SPD,likeselect,90
SPD,compliance,90
SPD,administrator,90
SPD,eren,90
